¦~¥÷,±o¼ú,¤¤¤å¦WºÙ,­^¤å¦WºÙ,³sµ²
2000,1,¬ü°ê¤ßª´ºÀ±¡,American Beauty,https://www.imdb.com/title/tt0169547/?ref_=ev_nom
2000,0,¤ß¹Ð©¹¨Æ,The Cider House Rules ,https://www.imdb.com/title/tt0124315/?ref_=ev_nom
2000,0,ºñ¦â©_ÂÝ,The Green Mile ,https://www.imdb.com/title/tt0120689/?ref_=ev_nom
2000,0,ÆF²§²Ä¤»·P, The Sixth Sense ,https://www.imdb.com/title/tt0167404/?ref_=ev_nom
2000,0,ÅåÃz¤º¹õ,The Insider ,https://www.imdb.com/title/tt0140352/?ref_=ev_nom
2001,1,¯«°­¾Ô¤h,Gladiator,https://www.imdb.com/title/tt0172495/?ref_=ev_nom
2001,0,¤Ñ¤H¥æ¾Ô,Traffic,https://www.imdb.com/title/tt0181865/?ref_=ev_nom
2001,0,¥Ã¤£§´¨ó,Erin Brockovich,https://www.imdb.com/title/tt0195685/?ref_=ev_nom
2001,0,¿@±¡¥©§J¤O,Chocolat,https://www.imdb.com/title/tt0241303/?ref_=ev_nom
2001,0,ª×ªêÂÃÀs,Wo hu cang long,https://www.imdb.com/title/tt0190332/?ref_=ev_nom
2002,1,¬üÄR¹Ò¬É,A Beautiful Mind,https://www.imdb.com/title/tt0268978/?ref_=ev_nom
2002,0,·N¥~Ãä½t,In the Bedroom,https://www.imdb.com/title/tt0247425/?ref_=ev_nom
2002,0,¬õ¿i§{,Moulin Rouge!,https://www.imdb.com/title/tt0203009/?ref_=ev_nom
2002,0,Á¼Ãú²ø¶é,Gosford Park,https://www.imdb.com/title/tt0280707/?ref_=ev_nom
2002,0,Å]§Ù­º³¡¦±¡GÅ]§Ù²{¨­,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/?ref_=ev_nom
2003,1,ªÛ¥[­ô,Chicago,https://www.imdb.com/title/tt0299658/?ref_=ev_nom
2003,0,¾Ô¦aµ^¤H,The Pianist,https://www.imdb.com/title/tt0253474/?ref_=ev_nom
2003,0,®É®É¨è¨è,The Hours,https://www.imdb.com/title/tt0274558/?ref_=ev_nom
2003,0,¯Ã¬ù¶ÂÀ°,Gangs of New York,https://www.imdb.com/title/tt0217505/?ref_=ev_nom
2003,0,Å]§Ù¤G³¡¦±¡GÂù«°©_¿Ñ,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/?ref_=ev_nom
2004,1,Å]§Ù¤T³¡¦±¡G¤ýªÌ¦AÁ{,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/?ref_=ev_nom
2004,0,©bÄË¦~¥N,Seabiscuit,https://www.imdb.com/title/tt0329575/?ref_=ev_nom
2004,0,«ã®üª§¾W¡G·¥¦a©º¥ï,Master and Commander: The Far Side of the World,https://www.imdb.com/title/tt0311113/?ref_=ev_nom
2004,0,·R±¡¡A¤£¥ÎÂ½Ä¶,Lost in Translation,https://www.imdb.com/title/tt0335266/?ref_=ev_nom
2004,0,¯«¯µªe¬y,Mystic River,https://www.imdb.com/title/tt0327056/?ref_=ev_nom
2005,1,µn®p³yÀ»,Million Dollar Baby,https://www.imdb.com/title/tt0405159/?ref_=ev_nom
2005,0,´M§ä·s¤è¦V,Sideways,https://www.imdb.com/title/tt0375063/?ref_=ev_nom
2005,0,´M§ä·s¼Ö¶é,Finding Neverland,https://www.imdb.com/title/tt0308644/?ref_=ev_nom
2005,0,¯«°­ª±®a,The Aviator,https://www.imdb.com/title/tt0338751/?ref_=ev_nom
2005,0,¹p¤§¤ßÆF¶Ç©_,Ray,https://www.imdb.com/title/tt0350258/?ref_=ev_nom
2006,1,½ÄÀ»®ÄÀ³,Crash,https://www.imdb.com/title/tt0375679/?ref_=ev_nom
2006,0,¼}¥§¶Â,Munich,https://www.imdb.com/title/tt0408306/?ref_=ev_nom
2006,0,Â_­I¤s,Brokeback Mountain,https://www.imdb.com/title/tt0388795/?ref_=ev_nom
2006,0,±ß¦w¡A¯¬§A¦n¹B,"Good Night, and Good Luck.",https://www.imdb.com/title/tt0433383/?ref_=ev_nom
2006,0,¬_ªi«Ò¡G§N¦å§i¥Õ,Capote,https://www.imdb.com/title/tt0379725/?ref_=ev_nom
2007,1,¯«°­µL¶¡,The Departed,https://www.imdb.com/title/tt0407887/?ref_=ev_nom
2007,0,¨Ó¦Û²¸ÁD®qªº«H,Letters from Iwo Jima,https://www.imdb.com/title/tt0498380/?ref_=ev_nom
2007,0,¤p¤Ó¶§ªºÄ@±æ,Little Miss Sunshine,https://www.imdb.com/title/tt0449059/?ref_=ev_nom
2007,0,¤õ½u¥æ¿ù,Babel,https://www.imdb.com/title/tt0449467/?ref_=ev_nom
2007,0,ÂL¦m»P¤k¬Ó,The Queen,https://www.imdb.com/title/tt0436697/?ref_=ev_nom
2008,1,ÀI¸ô¤Åªñ,No Country for Old Men,https://www.imdb.com/title/tt0477348/?ref_=ev_nom
2008,0,¥þ­±¤ÏÀ»,Michael Clayton,https://www.imdb.com/title/tt0465538/?ref_=ev_nom
2008,0,Å«¸o,Atonement,https://www.imdb.com/title/tt0783233/?ref_=ev_nom
2008,0,ÂE¥¥·íÀY,Juno,https://www.imdb.com/title/tt0467406/?ref_=ev_nom
2008,0,¶Âª÷¥ø·~,There Will Be Blood,https://www.imdb.com/title/tt0469494/?ref_=ev_nom
2009,1,³h¥Á¦Ê¸U´I¯Î,Slumdog Millionaire,https://www.imdb.com/title/tt1010048/?ref_=ev_nom
2009,0,¬°·R®ÔÅª,The Reader,https://www.imdb.com/title/tt0976051/?ref_=ev_nom
2009,0,¯Z³Ç©úªº©_¤Û®Èµ{,The Curious Case of Benjamin Button,https://www.imdb.com/title/tt0421715/?ref_=ev_nom
2009,0,¦Û¥Ñ¤j¹D,Milk,https://www.imdb.com/title/tt1013753/?ref_=ev_nom
2009,0,½Ð°ÝÁ`²Î¥ý¥Í,Frost/Nixon,https://www.imdb.com/title/tt0870111/?ref_=ev_nom
2010,1,¦M¾÷­Ë¼Æ,The Hurt Locker,https://www.imdb.com/title/tt0887912/?ref_=ev_nom
