年份,得獎,中文名稱,英文名稱,連結,movieGrading,movieDuration,movieRating,movieComment,movieDirector,movieWriter,movieCast1,movieCast2,movieCast3,movieCast4,movieCast5,movieCast6,movieCast7,movieCast8,movieCast9,movieCast10,movieCast11,movieCast12,movieCast13,movieCast14,movieCast15,movieCast16,movieCast17,movieCast18,movieCountry,Action,Adventure,Biography,Comedy,Crime,Drama,Fantasy,History,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War
2000,1,美國心玫瑰情,American Beauty,https://www.imdb.com/title/tt0169547/?ref_=ev_nom,R,2h 2m,8.3,1.2M,Sam Mendes,Alan Ball,Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley', 'Mena Suvari', 'Peter Gallagher', 'Allison Janney', 'Chris Cooper', 'Scott Bakula', 'Sam Robards', 'Barry Del Sherman', 'Ara Celi', 'John Cho', 'Fort Atkinson', 'Sue Casey', 'Kent Faulcon', 'Brenda Wehle', 'Lisa Cloud',United States,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2000,0,心塵往事,The Cider House Rules ,https://www.imdb.com/title/tt0124315/?ref_=ev_nom,GP,2h 6m,7.4,103K,Lasse Hallstr_m,John Irving,Tobey Maguire', 'Charlize Theron', 'Michael Caine', 'Delroy Lindo', 'Paul Rudd', 'Jane Alexander', 'Kathy Baker', 'Erykah Badu', 'Kieran Culkin', 'Kate Nelligan', 'Heavy D', 'K. Todd Freeman', 'Paz de la Huerta', 'J.K. Simmons', 'Evan Parke', 'Jimmy Flynn', 'Lonnie Farmer', 'Erik Per Sullivan',United States,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2000,0,綠色奇蹟,The Green Mile ,https://www.imdb.com/title/tt0120689/?ref_=ev_nom,0+,3h 9m,8.6,1.4M,Frank Darabont,"Stephen King, Frank Darabont",Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt', 'James Cromwell', 'Michael Jeter', 'Graham Greene', 'Doug Hutchison', 'Sam Rockwell', 'Barry Pepper', 'Jeffrey DeMunn', 'Patricia Clarkson', 'Harry Dean Stanton', 'Dabbs Greer', 'Eve Brent', 'William Sadler', 'Mack Miles', 'Rai Tasco',United States,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
2000,0,靈異第六感, The Sixth Sense ,https://www.imdb.com/title/tt0167404/?ref_=ev_nom,0+,1h 47m,8.2,1M,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams', 'Trevor Morgan', 'Donnie Wahlberg', 'Peter Anthony Tambakis', 'Jeffrey Zubernis', 'Bruce Norris', 'Glenn Fitzgerald', 'Greg Wood', 'Mischa Barton', 'Angelica Page', 'Lisa Summerour', 'Firdous Bamji', 'Samia Shoaib', 'Hayden Saunier', 'Janis Dardaris',United States,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
2000,0,驚爆內幕,The Insider ,https://www.imdb.com/title/tt0140352/?ref_=ev_nom,R,2h 37m,7.8,176K,Michael Mann,"Marie Brenner, Eric Roth, Michael Mann",Russell Crowe', 'Al Pacino', 'Christopher Plummer', 'Diane Venora', 'Philip Baker Hall', 'Lindsay Crouse', 'Debi Mazar', 'Stephen Tobolowsky', 'Colm Feore', 'Bruce McGill', 'Gina Gershon', 'Michael Gambon', 'Rip Torn', 'Lynne Thigpen', 'Hallie Eisenberg', 'Michael Paul Chan', 'Linda Hart', 'Robert Harper',United States,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2001,1,神鬼戰士,Gladiator,https://www.imdb.com/title/tt0172495/?ref_=ev_nom,R-12,2h 35m,8.5,1.6M,Ridley Scott,"David Franzoni, John Logan, William Nicholson",Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris', 'Derek Jacobi', 'Djimon Hounsou', 'David Schofield', 'John Shrapnel', 'Tomas Arana', 'Ralf Moeller', 'Spencer Treat Clark', 'David Hemmings', 'Tommy Flanagan', 'Sven-Ole Thorsen', 'Omid Djalili', 'Nicholas McGaughey', 'Chris Kell',United States,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2001,0,天人交戰,Traffic,https://www.imdb.com/title/tt0181865/?ref_=ev_nom,R,2h 27m,7.6,215K,Steven Soderbergh,"Simon Moore, Stephen Gaghan",Michael Douglas', 'Benicio Del Toro', 'Catherine Zeta-Jones', 'Jacob Vargas', 'Andrew Chavez', 'Michael Saucedo', 'Tomas Milian', 'J.R. Yenque', 'Emilio Rivera'," ""Michael O'Neill""", 'Russell G. Jones', 'Lorene Hetherington', 'Eric Collins', 'Beau Holden', 'Peter Stader', 'James Lew', 'Jeremy Fitzgerald', 'Russell Solberg',United States,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2001,0,永不妥協,Erin Brockovich,https://www.imdb.com/title/tt0195685/?ref_=ev_nom,R,2h 11m,7.4,211K,Steven Soderbergh,Susannah Grant,Julia Roberts', 'Albert Finney', 'David Brisbin', 'Dawn Didawick', 'Valente Rodriguez', 'Conchata Ferrell', 'George Rocky Sullivan', 'Pat Skipper', 'Jack Gill', 'Irene Olga L籀pez', 'Emily Marks', 'Julie Marks', 'Scotty Leavenworth', 'Gemmenne de la Pe簽a', 'Erin Brockovich-Ellis', 'Adilah Barnes', 'Irina V. Passmoore', 'Aaron Eckhart',United States,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2001,0,濃情巧克力,Chocolat,https://www.imdb.com/title/tt0241303/?ref_=ev_nom,PG-13,2h 1m,7.3,198K,Lasse Hallstr_m,"Joanne Harris, Robert Nelson Jacobs",Juliette Binoche', 'Johnny Depp', 'Judi Dench', 'Alfred Molina', 'Carrie-Anne Moss', 'Aurelien Parent Koenig', 'Antonio Gil', 'H矇l癡ne Cardona', 'Harrison Pratt', 'Gaelan Connell', '?lisabeth Commelin', 'Ron Cook', 'Guillaume Tardieu'," ""Hugh O'Conor""", 'John Wood', 'Lena Olin', 'Peter Stormare', 'Leslie Caron',United Kingdom,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2001,0,臥虎藏龍,Wo hu cang long,https://www.imdb.com/title/tt0190332/?ref_=ev_nom,13+,2h,7.9,277K,Ang Lee,"Hui-Ling Wang, James Schamus, Kuo Jung Tsai",Chow Yun-Fat', 'Michelle Yeoh', 'Ziyi Zhang', 'Chang Chen', 'Sihung Lung', 'Pei-Pei Cheng', 'Fazeng Li', 'Xian Gao', 'Yan Hai', 'Deming Wang', 'Li Li', 'Suying Huang', 'Jinting Zhang', 'Rui Yang', 'Kai Li', 'Jianhua Feng', 'Zhenxi Du', 'Cheng Lin Xu',Taiwan,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
